"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
43, 8.115560933908350e-01, 2.494241073704265e-02, 9.696578931194409e+04, -9.603139403034601e-02, 7.924931545235561e-01
44, 8.065889454575685e-01, 2.549881588683419e-02, 9.672753391380934e+04, -1.012800501874859e-01, 7.949102236689287e-01
45, 8.016214008529589e-01, 2.605167412369967e-02, 9.649518755140544e+04, -1.063985330221564e-01, 7.972999431163640e-01
46, 7.966535012142230e-01, 2.660132189905451e-02, 9.626250009149885e+04, -1.115245300769525e-01, 7.996616376474088e-01
47, 7.916852489942344e-01, 2.714778040449421e-02, 9.604592254137536e+04, -1.162956332748370e-01, 8.018587478993551e-01
48, 7.867166348256627e-01, 2.769094381601057e-02, 9.584748555998810e+04, -1.206671081388544e-01, 8.039684324749554e-01
49, 7.817476583759818e-01, 2.823077518706157e-02, 9.563149475543543e+04, -1.254252856033575e-01, 8.061636900605812e-01
50, 7.767783575882464e-01, 2.876760837600284e-02, 9.541503554663232e+04, -1.301937817967219e-01, 8.083990875463692e-01
51, 7.718087185964393e-01, 2.930130743085528e-02, 9.518017436910640e+04, -1.353676648446829e-01, 8.107398773068396e-01
52, 7.668387187398799e-01, 2.983164075759529e-02, 9.497081612878993e+04, -1.399797299885903e-01, 8.129174129716082e-01
53, 7.618683427558627e-01, 3.035842786743513e-02, 9.475604169748793e+04, -1.447111113133144e-01, 8.150900337086865e-01
54, 7.568976203967847e-01, 3.088194379059166e-02, 9.455755750815089e+04, -1.490836261466179e-01, 8.171510209296811e-01
55, 7.519265598856244e-01, 3.140223645112753e-02, 9.434919571227038e+04, -1.536737400807520e-01, 8.192593390810247e-01
56, 7.469551574394894e-01, 3.191925153718887e-02, 9.415393390025321e+04, -1.579752674330036e-01, 8.212758885790111e-01
57, 7.419834106101233e-01, 3.243294418850193e-02, 9.393499510303844e+04, -1.627983878115320e-01, 8.234391152884586e-01
58, 7.370113516946025e-01, 3.294359766779247e-02, 9.372459910090512e+04, -1.674333143679919e-01, 8.256171590062336e-01
59, 7.320389763832940e-01, 3.345117466615538e-02, 9.351544639831937e+04, -1.720408516108136e-01, 8.277520577157266e-01
60, 7.270662645650088e-01, 3.395543609687406e-02, 9.333936012937393e+04, -1.759199506235695e-01, 8.296394287127503e-01
61, 7.220931928378214e-01, 3.445614673970547e-02, 9.314130108172420e+04, -1.802830997822556e-01, 8.315677222052514e-01
62, 7.171197714163654e-01, 3.495335590786004e-02, 9.295637821379369e+04, -1.843568649811054e-01, 8.334158624657438e-01
63, 7.121460245995946e-01, 3.544731523961373e-02, 9.276047567052685e+04, -1.886725073462591e-01, 8.353532344589166e-01
64, 7.071719458279082e-01, 3.593791425717197e-02, 9.256583512564944e+04, -1.929603484709423e-01, 8.373324526564992e-01
65, 7.021975257870741e-01, 3.642503812904357e-02, 9.236743246318765e+04, -1.973310673049141e-01, 8.393590949911022e-01
66, 6.972227629436599e-01, 3.690864198023142e-02, 9.219527689763966e+04, -2.011235747409401e-01, 8.411933442156050e-01
67, 6.922476865136108e-01, 3.738902052305973e-02, 9.200750490910676e+04, -2.052601047480974e-01, 8.430907903465318e-01
68, 6.872722886696645e-01, 3.786605999183711e-02, 9.185229298305303e+04, -2.086793516475222e-01, 8.448315687419445e-01
69, 6.822965545677515e-01, 3.833956927975066e-02, 9.167918582762349e+04, -2.124928221682465e-01, 8.466499055312500e-01
70, 6.773204667346318e-01, 3.880935781727376e-02, 9.147914077617612e+04, -2.168997220714787e-01, 8.485717250759278e-01
71, 6.723440404514431e-01, 3.927553939744514e-02, 9.130042532956315e+04, -2.208367406514762e-01, 8.504153551400153e-01
72, 6.673672931072422e-01, 3.973828418736189e-02, 9.114397414966489e+04, -2.242832877395736e-01, 8.521124025533967e-01
73, 6.623902170110451e-01, 4.019747775991597e-02, 9.097552808797124e+04, -2.279940765224341e-01, 8.538199797242877e-01
74, 6.574128042917510e-01, 4.065300356894355e-02, 9.081102573245723e+04, -2.316179872832904e-01, 8.555559688277667e-01
75, 6.524350507858814e-01, 4.110479872741375e-02, 9.062207720855348e+04, -2.357804358201710e-01, 8.574452242878613e-01
76, 6.474569891595805e-01, 4.155318241646752e-02, 9.044139963978571e+04, -2.397606790431754e-01, 8.593518584832793e-01
77, 6.424786104343070e-01, 4.199803316253826e-02, 9.024660311987577e+04, -2.440519562256404e-01, 8.613371896111721e-01
78, 6.374998965609060e-01, 4.243911315028841e-02, 9.006903502205522e+04, -2.479636992427298e-01, 8.632759508664463e-01
79, 6.325208287979919e-01, 4.287618406727045e-02, 8.987257449735969e+04, -2.522916336805257e-01, 8.652957339230215e-01
80, 6.275414085797528e-01, 4.330921812724277e-02, 8.967162974177852e+04, -2.567183536494456e-01, 8.674217578256230e-01
81, 6.225616646618126e-01, 4.373851632282567e-02, 8.941234791297959e+04, -2.624302123431587e-01, 8.699749366928781e-01
82, 6.175815894183230e-01, 4.416395223748682e-02, 8.910631475277286e+04, -2.691719812314322e-01, 8.731232966540382e-01
83, 6.126011732940829e-01, 4.458537787334552e-02, 8.864688216015365e+04, -2.792930686230295e-01, 8.776097662550986e-01
84, 6.076204068322435e-01, 4.500264306586500e-02, 8.793104077957630e+04, -2.950627229482504e-01, 8.847408147745733e-01
85, 6.026393084681220e-01, 4.541592777426050e-02, 8.661979714543853e+04, -3.239488133693180e-01, 8.971087918606678e-01
86, 5.976578893723142e-01, 4.582532680572925e-02, 8.439420774100897e+04, -3.729775179538752e-01, 9.186164247641927e-01
87, 5.926761371659152e-01, 4.623065369546923e-02, 8.101459182322936e+04, -4.474288925480825e-01, 9.525070783746252e-01
88, 5.876940400902166e-01, 4.663171935819553e-02, 7.727886905922268e+04, -5.297251361596639e-01, 9.944250442455340e-01
89, 5.827115888779406e-01, 4.702836389620069e-02, 7.075679779904895e+04, -6.734033476294247e-01, 1.069752170187803e+00
90, 5.777288130930780e-01, 4.742090868545785e-02, 6.507113080699815e+04, -7.986559601574197e-01, 1.141497466512242e+00
91, 5.727457125984339e-01, 4.780930845520941e-02, 6.195584190497507e+04, -8.672843329241330e-01, 1.182654990039822e+00
92, 5.677622725608593e-01, 4.819332694666320e-02, 6.108181128767481e+04, -8.865388229249318e-01, 1.194038195595931e+00
93, 5.627784786121746e-01, 4.857272432406098e-02, 6.064370957241477e+04, -8.961900009601624e-01, 1.199650594922042e+00
94, 5.577943237471411e-01, 4.894734992693852e-02, 6.029610236486742e+04, -9.038476268710253e-01, 1.204136705431310e+00
95, 5.528098379015046e-01, 4.931754695360241e-02, 6.004417647507010e+04, -9.093974376328359e-01, 1.207352219054271e+00
96, 5.478250179358243e-01, 4.968321728554031e-02, 5.982902475840407e+04, -9.141371303795233e-01, 1.210163375657074e+00
97, 5.428398538092671e-01, 5.004416495861137e-02, 5.960567083453294e+04, -9.190575139549861e-01, 1.213189112068012e+00
98, 5.378543356776628e-01, 5.040018930629769e-02, 5.951218386864455e+04, -9.211169885480651e-01, 1.214423996247689e+00
99, 5.328684654833395e-01, 5.075124858686782e-02, 5.933582620926700e+04, -9.250020661664420e-01, 1.216569250049993e+00
100, 5.278822693532939e-01, 5.109764896612639e-02, 5.917787539132107e+04, -9.284816495867021e-01, 1.218524699599639e+00
101, 5.228957386776353e-01, 5.143919864996044e-02, 5.909473578685936e+04, -9.303131765962743e-01, 1.219590462477292e+00
102, 5.179088621876409e-01, 5.177566144947774e-02, 5.901619683445807e+04, -9.320433533701211e-01, 1.220554041085689e+00
103, 5.129216290312921e-01, 5.210679562892353e-02, 5.895816064026672e+04, -9.333218638692078e-01, 1.221180370019619e+00
104, 5.079340475501232e-01, 5.243264023044823e-02, 5.889448269456999e+04, -9.347246595429753e-01, 1.221831711497405e+00
105, 5.029461408348580e-01, 5.275346883186584e-02, 5.883648039115418e+04, -9.360024234439616e-01, 1.222540320022581e+00
106, 4.979578979482682e-01, 5.306902715890906e-02, 5.880343553576059e+04, -9.367303863152384e-01, 1.222950309643358e+00
107, 4.929693075455086e-01, 5.337904276455879e-02, 5.879173920336131e+04, -9.369880511049725e-01, 1.223041467160363e+00
108, 4.879803587564434e-01, 5.368323596933004e-02, 5.881380963647502e+04, -9.365018496775971e-01, 1.222841595188631e+00
109, 4.829910655651186e-01, 5.398172731858664e-02, 5.883018680779649e+04, -9.361410681726831e-01, 1.222561097624244e+00
110, 4.780014448935200e-01, 5.427469377242884e-02, 5.883221624171595e+04, -9.360963606826523e-01, 1.222374044530687e+00
111, 4.730114892808897e-01, 5.456189895925472e-02, 5.886181843366947e+04, -9.354442380937077e-01, 1.221959756644908e+00
112, 4.680211916842635e-01, 5.484309902505072e-02, 5.889350202798430e+04, -9.347462631740090e-01, 1.221476063233601e+00
113, 4.630305460483102e-01, 5.511805112575465e-02, 5.890772554357691e+04, -9.344329257080973e-01, 1.221171142374589e+00
114, 4.580395731988706e-01, 5.538700073091739e-02, 5.892838805676643e+04, -9.339777401050713e-01, 1.220822563572536e+00
